,qtd,media,std,min,25,50,75,max,mediana
0,5,48702.2,39177.49,8143,11587,47814,84105,91862,47814
1,5,17922.4,16319.59,4527,6899,8536,27584,42066,8536
2,5,46839.8,29641.96,14621,23779,41088,72394,82317,41088
3,5,7308.0,5115.69,4384,4435,5002,6373,16346,5002
4,5,42994.2,27215.1,16549,20347,34770,67171,76134,34770
5,5,1817.6,2022.46,742,787,817,1332,5410,817
6,5,24162.2,23103.3,6220,13074,13115,24643,63759,13115
7,5,2962.2,2122.95,824,997,2841,4502,5647,2841
8,5,14823.0,807.89,13765,14652,14821,14845,16032,14821
9,5,13921.8,2944.75,8740,14759,14973,15018,16119,14973
10,5,29238.0,29537.64,12530,15408,16938,19427,81887,16938
11,5,7848.6,8220.04,3579,4106,4461,4560,22537,4461
12,5,16625.8,17435.27,3957,4013,5567,27254,42338,5567
13,5,14402.0,8212.93,813,14428,14938,20850,20981,14938
14,5,72258.2,21319.55,38110,65565,82830,83074,91712,82830
15,5,60907.8,44094.64,12850,35439,49630,79900,126720,49630
16,5,34999.6,30444.89,7688,8640,23845,62874,71951,23845
17,5,29560.4,21249.84,813,15531,35897,41500,54061,35897
18,5,6790.6,3455.47,3056,3710,7784,7914,11489,7784
19,5,14120.8,8147.34,8214,8298,10710,15755,27627,10710
20,5,35522.4,20632.46,17142,24813,32184,32851,70622,32184
21,5,14174.6,3316.31,10237,12393,13112,16795,18336,13112
22,5,36480.0,32346.83,8892,14846,24128,45961,88573,24128
23,5,10365.6,4449.95,4793,6530,12194,13327,14984,12194
24,5,126464.0,88168.27,4059,77961,137995,184640,227665,137995
